id,tanggal,waktu,suhu,kelembaban,heat_index,deviasi,comfort_index,jumlah_orang,setting_ac,kondisi,catatan,status,created_at
1,2026-03-13,14:10:37,23.7,53.7,23.5,-0.3,100,0,24,AC Menyala,-,NYAMAN,2026-03-13 07:10:39.395178+00
2,2026-03-13,14:11:37,23.7,53.4,23.5,-0.3,100,0,24,AC Menyala,-,NYAMAN,2026-03-13 07:11:38.662961+00
3,2026-03-13,14:12:37,23.7,53.4,23.5,-0.3,100,0,24,AC Menyala,-,NYAMAN,2026-03-13 07:12:44.358949+00
4,2026-03-13,14:13:37,23.7,53.3,23.5,-0.3,100,0,24,AC Menyala,-,NYAMAN,2026-03-13 07:13:38.741107+00
5,2026-03-13,14:14:37,23.7,53.3,23.5,-0.3,100,0,24,AC Menyala,-,NYAMAN,2026-03-13 07:14:38.706278+00
6,2026-03-13,14:15:45,23.7,53.2,23.5,-0.3,100,0,24,AC Menyala,-,NYAMAN,2026-03-13 07:15:47.463653+00
7,2026-03-13,14:16:45,23.7,53.3,23.5,-0.3,100,0,24,AC Menyala,-,NYAMAN,2026-03-13 07:16:47.429877+00
8,2026-03-13,14:17:45,23.7,52.9,23.5,-0.3,100,2,24,AC Menyala,-,NYAMAN,2026-03-13 07:17:47.209446+00
9,2026-03-13,14:18:45,23.8,52.7,23.6,-0.2,100,2,24,AC Menyala,-,NYAMAN,2026-03-13 07:18:47.181249+00
10,2026-03-13,14:19:45,23.8,52.7,23.6,-0.2,100,2,24,AC Menyala,-,NYAMAN,2026-03-13 07:19:47.269998+00
11,2026-03-13,14:20:45,23.8,52.6,23.6,-0.2,100,2,24,AC Menyala,-,NYAMAN,2026-03-13 07:20:47.199652+00
12,2026-03-13,14:22:46,23.6,52.8,23.4,-0.4,100,2,24,AC Menyala,-,NYAMAN,2026-03-13 07:22:47.232185+00
13,2026-03-13,14:23:46,23.7,52.8,23.5,-0.3,100,2,24,AC Menyala,-,NYAMAN,2026-03-13 07:23:50.428993+00
14,2026-03-13,14:24:46,23.7,52.6,23.5,-0.3,100,2,24,AC Menyala,-,NYAMAN,2026-03-13 07:24:47.213384+00
15,2026-03-13,14:25:46,23.7,52.6,23.5,-0.3,100,2,24,AC Menyala,-,NYAMAN,2026-03-13 07:25:49.026591+00
16,2026-03-13,14:26:46,23.6,52.6,23.4,-0.4,100,2,24,AC Menyala,-,NYAMAN,2026-03-13 07:26:47.262438+00
17,2026-03-13,14:27:46,23.6,52.5,23.4,-0.4,100,2,24,AC Menyala,-,NYAMAN,2026-03-13 07:27:47.258017+00
18,2026-03-13,14:28:46,23.7,52.3,23.5,-0.3,100,2,24,AC Menyala,-,NYAMAN,2026-03-13 07:28:47.116985+00
19,2026-03-13,14:29:46,23.6,52.6,23.4,-2.4,100,2,26,AC Menyala,-,NYAMAN,2026-03-13 07:29:47.112704+00
20,2026-03-13,14:30:46,23.7,52.3,23.5,-2.3,100,2,26,AC Menyala,-,NYAMAN,2026-03-13 07:30:47.188219+00
21,2026-03-13,14:31:46,23.6,52.3,23.4,-2.4,100,2,26,AC Menyala,-,NYAMAN,2026-03-13 07:31:56.261931+00
22,2026-03-13,14:32:46,23.5,52.4,23.3,-2.5,100,2,26,AC Menyala,-,NYAMAN,2026-03-13 07:32:47.154573+00
23,2026-03-13,14:34:46,23.6,52.5,23.4,-2.4,100,2,26,AC Menyala,-,NYAMAN,2026-03-13 07:34:47.083716+00
24,2026-03-13,14:35:46,23.6,52.3,23.4,-2.4,100,2,26,AC Menyala,-,NYAMAN,2026-03-13 07:35:47.089421+00
25,2026-03-13,14:36:46,23.6,52.3,23.4,-2.4,100,2,26,AC Menyala,-,NYAMAN,2026-03-13 07:36:47.082225+00
